path,species,label,label_name
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191115_061522_2.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191004_063453.jpg,chanos chanos,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191019_055754.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191001_063118.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_080210_3.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191018_055321.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_054911.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_062127_1.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_062116_1.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191115_060356_3.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Johnius Trachycephalus - Highly Fresh\IMG_20191015_065821.jpg,johnius trachycephalus,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Fresh\IMG_20191017_065022.jpg,johnius trachycephalus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_080139_1.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191019_061343.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Johnius Trachycephalus - Fresh\IMG_20191017_070643.jpg,johnius trachycephalus,1,Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191110_055549_4.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_055042_2.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191017_071504.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191005_071905.jpg,chanos chanos,2,Not Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191002_062803.jpg,chanos chanos,1,Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191110_060728.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191019_062449.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20190930_071124.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_062133_3.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191115_060924.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191114_055917_3.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191016_071712.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_055858_2.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191112_055123_3.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_062946.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191015_064326.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191114_062728_1.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191111_060736.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_055235_13.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191004_064737.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_054156_2.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191113_061850_3.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Eleutheronema Tetradactylum - Not Fresh\IMG_20191019_064244.jpg,eleutheronema tetradactylum,2,Not Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191110_080522.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191017_061948.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191003_064956.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_072616.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191002_064343.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_072801_3.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191110_080626.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_055124_6.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_061809.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191015_062603.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191111_061316_2.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_061237.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20190930_072410.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191114_063947_1.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191113_055933_1.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_062019.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191110_074958_5.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055158.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_054723_3.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191018_055133.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_055135.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191004_063436.jpg,chanos chanos,2,Not Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20190930_071022.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191001_064904.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055419_2.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_063219_2.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_060442_2.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191113_052039.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20190930_072236.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060658_2.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Eleutheronema Tetradactylum - Fresh\IMG_20191016_070958.jpg,eleutheronema tetradactylum,1,Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191112_053932_3.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055827_1.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_080124.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191016_064702.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191114_061728.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191015_063615.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_064007_3.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191114_064004_3.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191111_061303_7.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191114_062434.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_054514_1.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191111_063222.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191017_064755.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191110_073411.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191111_063309.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191110_080218_3.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191112_062447.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191111_061646.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191004_064221.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191112_062551.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_054457_2.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_072725_!.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191113_054024_1.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Nibea Albiflora - Fresh\IMG_20191113_061110.jpg,nibea albiflora,1,Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_055919_2.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_054732_3.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191111_063422_2.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191003_064736.jpg,chanos chanos,1,Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191110_055549_2.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191115_061522_3.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Nibea Albiflora - Not Fresh\IMG_20191115_061649.jpg,nibea albiflora,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191113_054024.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_062936.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_055149.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191114_054501.jpg,chanos chanos,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191114_063643.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_063812.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191112_060253.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191111_061038_4.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191002_063139.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060912_3.jpg,oreochromis mossambicus,2,Not Fresh
data\mendeley\Johnius Trachycephalus - Highly Fresh\IMG_20191014_071711.jpg,johnius trachycephalus,0,Highly Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191112_052626.jpg,chanos chanos,1,Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191112_054224.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191002_062711.jpg,chanos chanos,1,Fresh
data\mendeley\Chanos Chanos - Highly Fresh\IMG_20191111_052939.jpg,chanos chanos,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_072736_5.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Fresh\IMG_20191017_065600.jpg,johnius trachycephalus,1,Fresh
data\mendeley\Johnius Trachycephalus - Highly Fresh\IMG_20191014_071209.jpg,johnius trachycephalus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Highly Fresh\IMG_20191111_061316_4.jpg,upeneus moluccensis,0,Highly Fresh
data\mendeley\Eleutheronema Tetradactylum - Highly Fresh\IMG_20191015_072033.jpg,eleutheronema tetradactylum,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191016_063607.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191018_054146.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191113_053829.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_055119_1.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191115_061400_1.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Oreochromis Niloticus - Fresh\IMG_20191002_064421.jpg,oreochromis niloticus,1,Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191111_063523_1.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_054634_1.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Not Fresh\IMG_20191115_063007.jpg,upeneus moluccensis,2,Not Fresh
data\mendeley\Chanos Chanos - Fresh\IMG_20191003_064817.jpg,chanos chanos,1,Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191110_080424.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Highly Fresh\IMG_20191110_075141.jpg,rastrelliger faughni,0,Highly Fresh
data\mendeley\Upeneus Moluccensis - Fresh\IMG_20191016_062825.jpg,upeneus moluccensis,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191111_054516.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191112_063807_2.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191110_062047_4.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191112_054217.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Nibea Albiflora - Fresh\IMG_20191113_060403.jpg,nibea albiflora,1,Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191113_055553_2.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Oreochromis Niloticus - Highly Fresh\IMG_20191001_064643.jpg,oreochromis niloticus,0,Highly Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191019_063009.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191018_055759.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191112_062526.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Johnius Trachycephalus - Not Fresh\IMG_20191018_060805.jpg,johnius trachycephalus,2,Not Fresh
data\mendeley\Rastrelliger Faughni - Not Fresh\IMG_20191018_055552.jpg,rastrelliger faughni,2,Not Fresh
data\mendeley\Nibea Albiflora -  Highly Fresh\IMG_20191110_080719.jpg,nibea albiflora,0,Highly Fresh
data\mendeley\Chanos Chanos - Not Fresh\IMG_20191114_053811.jpg,chanos chanos,2,Not Fresh
data\mendeley\Eleutheronema Tetradactylum - Highly Fresh\IMG_20191015_071745.jpg,eleutheronema tetradactylum,0,Highly Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191115_055110.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Fresh\IMG_20191113_054704_2.jpg,oreochromis mossambicus,1,Fresh
data\mendeley\Oreochromis Mossambicus - Highly Fresh\IMG_20191111_054857.jpg,oreochromis mossambicus,0,Highly Fresh
data\mendeley\Rastrelliger Faughni - Fresh\IMG_20191017_063837.jpg,rastrelliger faughni,1,Fresh
data\mendeley\Oreochromis Niloticus - Not Fresh\IMG_20191004_064406.jpg,oreochromis niloticus,2,Not Fresh
data\mendeley\Oreochromis Mossambicus - Not Fresh\IMG_20191114_060912_4.jpg,oreochromis mossambicus,2,Not Fresh
